Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,293.01,296.85,291.37,293.7,1065158,0.0,0.0
2025-11-24 00:00:00-05:00,290.0,293.0,287.99,290.84,919291,0.0,0.0
2025-11-21 00:00:00-05:00,289.64,292.5,288.4,290.07,1781300,0.0,0.0
2025-11-20 00:00:00-05:00,286.74,289.87,286.02,287.85,1296200,0.0,0.0
2025-11-19 00:00:00-05:00,286.57,288.19,283.46,285.47,1116100,0.0,0.0
2025-11-18 00:00:00-05:00,284.26,289.29,283.59,286.85,1199900,0.0,0.0
2025-11-17 00:00:00-05:00,288.25,289.59,284.03,284.51,1343200,0.0,0.0
2025-11-14 00:00:00-05:00,288.54,290.36,284.83,287.29,1437300,0.0,0.0
2025-11-13 00:00:00-05:00,286.24,290.62,284.8,287.42,1595100,0.0,0.0
2025-11-12 00:00:00-05:00,286.0,288.95,285.59,286.13,1483200,0.0,0.0
2025-11-11 00:00:00-05:00,283.78,286.73,282.0,286.02,1453000,0.0,0.0
2025-11-10 00:00:00-05:00,278.49,282.86,277.41,282.39,1503800,0.0,0.0
2025-11-07 00:00:00-05:00,277.41,280.7,276.0,279.81,931100,0.0,0.0
2025-11-06 00:00:00-05:00,277.33,279.13,275.69,276.26,856900,0.0,0.0
2025-11-05 00:00:00-05:00,277.97,279.59,276.48,276.65,1158400,0.0,0.0
2025-11-04 00:00:00-05:00,269.08,277.36,268.38,277.28,1769700,0.0,0.0
2025-11-03 00:00:00-05:00,267.38,268.53,264.25,267.66,1981800,0.0,0.0
2025-10-31 00:00:00-04:00,268.32,271.1,267.75,268.62,1900900,0.0,0.0
2025-10-30 00:00:00-04:00,269.06,274.54,267.9,271.01,1473500,0.0,0.0
2025-10-29 00:00:00-04:00,265.28,269.33,265.24,267.91,1262700,0.0,0.0
2025-10-28 00:00:00-04:00,269.45,272.32,267.53,268.13,1341300,0.0,0.0
2025-10-27 00:00:00-04:00,269.64,270.59,268.49,270.34,1108100,0.0,0.0
2025-10-24 00:00:00-04:00,270.01,270.6,269.09,269.89,917300,0.0,0.0
2025-10-23 00:00:00-04:00,269.56,269.94,267.43,269.1,1173000,0.0,0.0
2025-10-22 00:00:00-04:00,270.34,271.74,267.15,268.49,999900,0.0,0.0
2025-10-21 00:00:00-04:00,265.98,270.53,264.88,269.34,1146700,0.0,0.0
2025-10-20 00:00:00-04:00,264.4,265.77,262.9,265.25,1054600,0.0,0.0
2025-10-17 00:00:00-04:00,262.67,266.79,261.87,262.01,2276000,0.0,0.0
2025-10-16 00:00:00-04:00,252.6,265.59,252.26,261.57,2404900,0.0,0.0
2025-10-15 00:00:00-04:00,271.82,274.11,266.78,269.45,2058500,0.0,0.0
2025-10-14 00:00:00-04:00,270.32,275.86,270.32,275.64,909200,0.0,0.0
2025-10-13 00:00:00-04:00,268.53,272.35,266.47,270.38,854300,0.0,0.0
2025-10-10 00:00:00-04:00,275.86,276.16,269.33,270.12,1199400,0.0,0.0
2025-10-09 00:00:00-04:00,283.06,284.82,273.88,274.41,1402900,0.0,0.0
2025-10-08 00:00:00-04:00,287.95,287.95,281.86,282.76,905000,0.0,0.0
2025-10-07 00:00:00-04:00,282.79,286.89,282.79,284.97,770100,0.0,0.0
2025-10-06 00:00:00-04:00,285.01,285.69,281.83,282.73,1103900,0.0,0.0
2025-10-03 00:00:00-04:00,279.88,286.17,279.5,284.56,992700,0.0,0.0
2025-10-02 00:00:00-04:00,276.21,280.27,275.52,280.04,839400,0.0,0.0
2025-10-01 00:00:00-04:00,277.64,279.62,276.76,277.24,764400,0.0,0.0
2025-09-30 00:00:00-04:00,276.52,280.06,276.52,279.22,789000,0.0,0.0
2025-09-29 00:00:00-04:00,277.79,277.79,274.84,276.5,951200,0.0,0.0
2025-09-26 00:00:00-04:00,276.33,278.34,274.6,277.76,756200,0.0,0.0
2025-09-25 00:00:00-04:00,278.69,278.76,274.03,274.22,876800,0.0,0.0
2025-09-24 00:00:00-04:00,275.8,277.26,274.84,276.66,734400,0.0,0.0
2025-09-23 00:00:00-04:00,275.56,279.08,274.24,276.26,854800,0.0,0.0
2025-09-22 00:00:00-04:00,276.03,277.0,274.27,276.11,693400,0.0,0.0
2025-09-19 00:00:00-04:00,278.79,278.79,275.32,277.0,2499800,0.0,0.0
2025-09-18 00:00:00-04:00,273.29,278.87,272.5,277.9,965900,0.0,0.0
2025-09-17 00:00:00-04:00,272.53,276.8,272.13,275.03,982300,0.0,0.0
2025-09-16 00:00:00-04:00,274.88,274.88,270.68,271.95,2475000,0.0,0.0
2025-09-15 00:00:00-04:00,278.19,279.7,276.1,276.3,805400,0.0,0.0
2025-09-12 00:00:00-04:00,278.63,280.0,277.89,278.93,852100,0.0,0.0
2025-09-11 00:00:00-04:00,272.54,279.75,272.06,279.43,1089100,0.0,0.0
2025-09-10 00:00:00-04:00,270.39,272.42,269.2,272.33,844400,1.1,0.0
2025-09-09 00:00:00-04:00,272.76,274.44,271.18,272.45,1046600,0.0,0.0
2025-09-08 00:00:00-04:00,274.35,274.35,270.25,273.38,843700,0.0,0.0
2025-09-05 00:00:00-04:00,277.92,279.24,272.86,274.11,970700,0.0,0.0
2025-09-04 00:00:00-04:00,277.44,279.57,275.55,278.31,1239800,0.0,0.0
2025-09-03 00:00:00-04:00,271.02,275.52,269.55,275.44,1615600,0.0,0.0
2025-09-02 00:00:00-04:00,270.17,272.51,267.77,272.25,1408900,0.0,0.0
2025-08-29 00:00:00-04:00,269.31,271.31,268.82,270.42,681000,0.0,0.0
2025-08-28 00:00:00-04:00,270.74,271.32,268.06,269.19,827900,0.0,0.0
2025-08-27 00:00:00-04:00,269.48,272.94,269.15,271.12,808000,0.0,0.0
2025-08-26 00:00:00-04:00,270.29,271.23,269.35,269.8,2039600,0.0,0.0
2025-08-25 00:00:00-04:00,274.19,275.0,271.06,271.24,1068700,0.0,0.0
2025-08-22 00:00:00-04:00,275.89,277.92,274.65,275.18,1457600,0.0,0.0
2025-08-21 00:00:00-04:00,271.43,275.31,271.36,273.81,1217200,0.0,0.0
2025-08-20 00:00:00-04:00,268.95,274.23,267.86,273.29,1368100,0.0,0.0
2025-08-19 00:00:00-04:00,264.16,267.81,264.08,267.79,1364200,0.0,0.0
2025-08-18 00:00:00-04:00,263.46,264.71,262.31,263.85,968400,0.0,0.0
2025-08-15 00:00:00-04:00,269.71,269.71,264.23,264.52,1295700,0.0,0.0
2025-08-14 00:00:00-04:00,268.4,268.82,265.31,267.51,1506200,0.0,0.0
2025-08-13 00:00:00-04:00,264.86,269.19,264.35,268.22,1409200,0.0,0.0
2025-08-12 00:00:00-04:00,263.2,264.72,261.9,262.87,1198000,0.0,0.0
2025-08-11 00:00:00-04:00,264.11,266.47,262.22,263.2,938100,0.0,0.0
2025-08-08 00:00:00-04:00,265.54,266.51,261.97,263.8,920500,0.0,0.0
2025-08-07 00:00:00-04:00,266.57,267.49,261.77,264.29,977300,0.0,0.0
2025-08-06 00:00:00-04:00,265.65,267.13,264.1,266.5,1112700,0.0,0.0
2025-08-05 00:00:00-04:00,262.79,265.52,262.44,264.1,1198300,0.0,0.0
2025-08-04 00:00:00-04:00,259.3,261.99,257.67,261.94,946000,0.0,0.0
2025-08-01 00:00:00-04:00,259.11,259.79,255.03,257.28,1076900,0.0,0.0
2025-07-31 00:00:00-04:00,256.89,262.33,256.89,259.19,1744800,0.0,0.0
2025-07-30 00:00:00-04:00,259.59,260.55,256.56,257.88,867900,0.0,0.0
2025-07-29 00:00:00-04:00,256.16,258.96,254.6,258.78,1415500,0.0,0.0
2025-07-28 00:00:00-04:00,258.95,259.19,253.23,253.88,1271500,0.0,0.0
2025-07-25 00:00:00-04:00,260.46,263.02,259.56,260.0,1194200,0.0,0.0
2025-07-24 00:00:00-04:00,262.68,263.98,259.78,260.94,1545700,0.0,0.0
2025-07-23 00:00:00-04:00,266.26,266.92,260.29,263.68,1462200,0.0,0.0
2025-07-22 00:00:00-04:00,263.62,266.7,263.55,265.71,1412700,0.0,0.0
2025-07-21 00:00:00-04:00,263.98,266.52,261.94,262.18,1174900,0.0,0.0
2025-07-18 00:00:00-04:00,262.67,267.15,261.56,264.9,1687800,0.0,0.0
2025-07-17 00:00:00-04:00,250.71,261.42,250.29,260.76,2576700,0.0,0.0
2025-07-16 00:00:00-04:00,250.92,253.33,249.2,251.18,1429100,0.0,0.0
2025-07-15 00:00:00-04:00,252.48,253.14,248.19,249.61,1424800,0.0,0.0
2025-07-14 00:00:00-04:00,253.03,255.22,252.26,254.44,1120200,0.0,0.0
2025-07-11 00:00:00-04:00,253.17,254.74,251.91,253.46,783400,0.0,0.0
2025-07-10 00:00:00-04:00,252.58,255.3,251.64,254.96,1242600,0.0,0.0
2025-07-09 00:00:00-04:00,257.03,257.03,252.58,254.29,1356900,0.0,0.0
2025-07-08 00:00:00-04:00,256.33,258.89,254.84,255.36,1522400,0.0,0.0
2025-07-07 00:00:00-04:00,262.38,262.98,256.86,257.95,1112000,0.0,0.0
2025-07-03 00:00:00-04:00,258.79,263.07,257.06,263.07,859500,0.0,0.0
2025-07-02 00:00:00-04:00,264.86,265.85,254.97,256.31,1375400,0.0,0.0
2025-07-01 00:00:00-04:00,265.21,268.04,263.44,265.93,1128600,0.0,0.0
2025-06-30 00:00:00-04:00,263.0,266.92,261.74,266.46,1312100,0.0,0.0
2025-06-27 00:00:00-04:00,261.74,264.43,259.96,262.25,1156800,0.0,0.0
2025-06-26 00:00:00-04:00,261.44,262.65,259.14,261.89,1212700,0.0,0.0
2025-06-25 00:00:00-04:00,264.61,265.39,259.21,259.76,1224000,0.0,0.0
2025-06-24 00:00:00-04:00,267.88,267.88,264.44,265.07,1117000,0.0,0.0
2025-06-23 00:00:00-04:00,264.69,266.6,261.69,266.54,1116800,0.0,0.0
2025-06-20 00:00:00-04:00,269.24,272.91,263.75,263.91,2979200,0.0,0.0
2025-06-18 00:00:00-04:00,263.2,265.67,262.16,263.83,1166600,0.0,0.0
2025-06-17 00:00:00-04:00,262.54,263.94,261.13,263.35,1076000,0.0,0.0
2025-06-16 00:00:00-04:00,263.93,266.11,262.93,264.07,1324600,0.0,0.0
2025-06-13 00:00:00-04:00,263.25,265.73,261.76,262.41,992400,0.0,0.0
2025-06-12 00:00:00-04:00,259.24,265.01,257.8,264.88,1141400,0.0,0.0
2025-06-11 00:00:00-04:00,261.55,262.94,259.19,260.22,1326300,0.0,0.0
2025-06-10 00:00:00-04:00,265.4,265.4,261.37,261.94,1385600,1.1,0.0
2025-06-09 00:00:00-04:00,271.34,271.34,260.8,265.61,1227000,0.0,0.0
2025-06-06 00:00:00-04:00,271.09,273.34,269.87,271.47,695500,0.0,0.0
2025-06-05 00:00:00-04:00,269.41,270.83,267.31,268.82,773000,0.0,0.0
2025-06-04 00:00:00-04:00,273.91,273.91,269.63,269.65,988800,0.0,0.0
2025-06-03 00:00:00-04:00,274.1,275.58,268.51,273.83,1181500,0.0,0.0
2025-06-02 00:00:00-04:00,271.2,274.16,270.0,274.1,958100,0.0,0.0
2025-05-30 00:00:00-04:00,271.68,275.4,270.4,273.46,2689900,0.0,0.0
2025-05-29 00:00:00-04:00,271.07,272.86,270.0,272.18,1070700,0.0,0.0
2025-05-28 00:00:00-04:00,273.38,273.97,270.39,271.43,1647100,0.0,0.0
2025-05-27 00:00:00-04:00,271.97,273.82,268.41,273.64,1119700,0.0,0.0
2025-05-23 00:00:00-04:00,269.32,270.75,266.77,268.84,832700,0.0,0.0
2025-05-22 00:00:00-04:00,270.12,270.62,265.94,268.88,886600,0.0,0.0
2025-05-21 00:00:00-04:00,270.86,271.46,267.81,268.95,797300,0.0,0.0
2025-05-20 00:00:00-04:00,271.72,272.56,270.71,271.49,946600,0.0,0.0
2025-05-19 00:00:00-04:00,271.53,272.8,269.99,272.31,866600,0.0,0.0
2025-05-16 00:00:00-04:00,267.62,271.67,267.62,271.41,867100,0.0,0.0
2025-05-15 00:00:00-04:00,262.93,269.31,262.93,268.7,1320200,0.0,0.0
2025-05-14 00:00:00-04:00,263.78,263.78,258.97,260.46,933700,0.0,0.0
2025-05-13 00:00:00-04:00,265.74,267.71,262.03,262.77,1336600,0.0,0.0
2025-05-12 00:00:00-04:00,268.01,268.16,260.51,265.89,1320900,0.0,0.0
2025-05-09 00:00:00-04:00,268.55,269.53,267.08,267.56,774600,0.0,0.0
2025-05-08 00:00:00-04:00,266.52,270.86,266.52,268.62,1103100,0.0,0.0
2025-05-07 00:00:00-04:00,265.43,268.28,264.76,266.68,1038200,0.0,0.0
2025-05-06 00:00:00-04:00,264.43,266.58,263.16,265.88,919800,0.0,0.0
2025-05-05 00:00:00-04:00,263.48,266.63,262.32,265.37,942800,0.0,0.0
2025-05-02 00:00:00-04:00,261.89,265.63,260.65,265.24,1270000,0.0,0.0
2025-05-01 00:00:00-04:00,259.64,261.56,258.0,259.33,1153600,0.0,0.0
2025-04-30 00:00:00-04:00,260.01,263.04,256.0,261.99,1297100,0.0,0.0
2025-04-29 00:00:00-04:00,260.05,262.37,258.7,261.91,868900,0.0,0.0
2025-04-28 00:00:00-04:00,258.02,259.93,257.37,259.49,937700,0.0,0.0
2025-04-25 00:00:00-04:00,257.9,258.2,253.82,257.06,1087900,0.0,0.0
2025-04-24 00:00:00-04:00,255.79,259.33,253.31,258.29,1414200,0.0,0.0
2025-04-23 00:00:00-04:00,258.81,261.28,255.55,256.98,1779000,0.0,0.0
2025-04-22 00:00:00-04:00,251.31,260.58,249.97,259.19,1723400,0.0,0.0
2025-04-21 00:00:00-04:00,254.04,256.29,245.8,247.57,1864400,0.0,0.0
2025-04-17 00:00:00-04:00,251.06,255.42,249.75,253.78,1682100,0.0,0.0
2025-04-16 00:00:00-04:00,253.71,258.28,249.34,250.43,2258100,0.0,0.0
2025-04-15 00:00:00-04:00,247.91,250.26,247.05,247.63,1326300,0.0,0.0
2025-04-14 00:00:00-04:00,246.51,250.22,245.55,248.81,1017900,0.0,0.0
2025-04-11 00:00:00-04:00,243.18,244.61,238.49,243.14,1367000,0.0,0.0
2025-04-10 00:00:00-04:00,244.65,246.59,237.48,243.18,1782000,0.0,0.0
2025-04-09 00:00:00-04:00,229.36,246.69,228.6,246.09,2424700,0.0,0.0
2025-04-08 00:00:00-04:00,239.89,240.89,231.19,234.61,2109400,0.0,0.0
2025-04-07 00:00:00-04:00,235.62,241.47,228.56,231.93,2425800,0.0,0.0
2025-04-04 00:00:00-04:00,255.13,255.92,237.89,240.29,2471800,0.0,0.0
2025-04-03 00:00:00-04:00,260.44,264.06,258.66,260.97,1519700,0.0,0.0
2025-04-02 00:00:00-04:00,260.7,263.01,258.61,262.34,1050200,0.0,0.0
2025-04-01 00:00:00-04:00,262.85,263.24,258.97,262.39,999900,0.0,0.0
2025-03-31 00:00:00-04:00,259.73,263.6,259.14,262.31,1548200,0.0,0.0
2025-03-28 00:00:00-04:00,263.36,264.15,259.37,259.67,1185400,0.0,0.0
2025-03-27 00:00:00-04:00,262.15,262.19,258.01,260.55,910900,0.0,0.0
2025-03-26 00:00:00-04:00,258.52,261.32,257.32,260.13,1111500,0.0,0.0
2025-03-25 00:00:00-04:00,258.4,259.64,254.34,257.35,1136300,0.0,0.0
2025-03-24 00:00:00-04:00,256.72,257.87,254.69,257.34,1240000,0.0,0.0
2025-03-21 00:00:00-04:00,256.91,258.5,254.31,254.62,3669200,0.0,0.0
2025-03-20 00:00:00-04:00,258.52,261.11,257.01,257.43,1418100,0.0,0.0
2025-03-19 00:00:00-04:00,257.94,260.73,257.12,259.2,1624300,0.0,0.0
2025-03-18 00:00:00-04:00,262.22,264.58,257.98,258.39,2232800,0.0,0.0
2025-03-17 00:00:00-04:00,258.68,263.93,258.33,262.98,1757400,0.0,0.0
2025-03-14 00:00:00-04:00,254.47,259.84,252.63,258.79,1302500,0.0,0.0
2025-03-13 00:00:00-04:00,250.0,255.22,249.5,253.86,1416400,0.0,0.0
2025-03-12 00:00:00-04:00,252.42,253.03,246.08,249.95,1671100,0.0,0.0
2025-03-11 00:00:00-04:00,253.61,254.95,249.27,252.49,1502000,0.0,0.0
2025-03-10 00:00:00-04:00,253.5,260.78,252.49,254.53,1351600,1.05,0.0
2025-03-07 00:00:00-05:00,253.98,256.14,251.71,254.57,966900,0.0,0.0
2025-03-06 00:00:00-05:00,253.63,254.84,250.18,252.91,932200,0.0,0.0
2025-03-05 00:00:00-05:00,252.76,255.9,252.19,254.89,1095300,0.0,0.0
2025-03-04 00:00:00-05:00,258.73,259.14,252.3,252.59,1151700,0.0,0.0
2025-03-03 00:00:00-05:00,255.61,259.88,255.61,257.67,1751300,0.0,0.0
2025-02-28 00:00:00-05:00,253.46,255.64,251.42,255.35,1811600,0.0,0.0
2025-02-27 00:00:00-05:00,246.86,252.35,246.86,251.69,1086600,0.0,0.0
2025-02-26 00:00:00-05:00,248.16,249.5,244.73,245.83,1078200,0.0,0.0
2025-02-25 00:00:00-05:00,247.32,252.05,245.89,249.44,1630100,0.0,0.0
2025-02-24 00:00:00-05:00,238.43,246.64,238.08,245.22,1315600,0.0,0.0
2025-02-21 00:00:00-05:00,239.48,239.81,235.79,237.11,1250700,0.0,0.0
2025-02-20 00:00:00-05:00,238.72,238.72,234.91,238.31,971800,0.0,0.0
2025-02-19 00:00:00-05:00,238.41,239.93,236.31,239.4,1330800,0.0,0.0
2025-02-18 00:00:00-05:00,236.05,237.67,234.55,235.5,1121700,0.0,0.0
2025-02-14 00:00:00-05:00,239.08,239.49,234.08,235.4,1348200,0.0,0.0
2025-02-13 00:00:00-05:00,238.12,240.37,236.76,240.06,911300,0.0,0.0
2025-02-12 00:00:00-05:00,236.59,239.12,235.47,237.74,1334100,0.0,0.0
2025-02-11 00:00:00-05:00,239.71,240.64,236.48,239.4,1165000,0.0,0.0
2025-02-10 00:00:00-05:00,242.02,242.21,239.03,239.47,954100,0.0,0.0
2025-02-07 00:00:00-05:00,244.34,245.45,241.07,242.21,906600,0.0,0.0
2025-02-06 00:00:00-05:00,246.01,246.24,242.52,244.63,811000,0.0,0.0
2025-02-05 00:00:00-05:00,242.61,243.89,240.6,243.35,950300,0.0,0.0
