Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-22 00:00:00-05:00,10.4,10.69,9.99,10.13,34302151,0.0,0.0
2025-12-19 00:00:00-05:00,9.9,10.22,9.89,10.18,55309200,0.0,0.0
2025-12-18 00:00:00-05:00,10.2,10.37,9.61,9.69,46078300,0.0,0.0
2025-12-17 00:00:00-05:00,10.78,10.95,9.92,9.93,49404000,0.0,0.0
2025-12-16 00:00:00-05:00,10.77,11.05,10.5,10.69,39827400,0.0,0.0
2025-12-15 00:00:00-05:00,11.48,11.51,10.58,10.7,44712700,0.0,0.0
2025-12-12 00:00:00-05:00,11.81,12.26,11.36,11.52,42717300,0.0,0.0
2025-12-11 00:00:00-05:00,11.59,11.86,11.17,11.84,44290800,0.0,0.0
2025-12-10 00:00:00-05:00,12.06,12.34,11.77,11.92,37825600,0.0,0.0
2025-12-09 00:00:00-05:00,11.87,12.87,11.76,12.25,42518200,0.0,0.0
2025-12-08 00:00:00-05:00,12.03,12.12,11.56,12.05,33653800,0.0,0.0
2025-12-05 00:00:00-05:00,12.2,12.2,11.63,11.74,37605500,0.0,0.0
2025-12-04 00:00:00-05:00,12.33,12.59,12.12,12.44,32405800,0.0,0.0
2025-12-03 00:00:00-05:00,12.06,12.54,11.8,12.47,42574500,0.0,0.0
2025-12-02 00:00:00-05:00,11.98,12.42,11.7,11.91,46125200,0.0,0.0
2025-12-01 00:00:00-05:00,11.08,11.65,10.62,11.52,47151600,0.0,0.0
2025-11-28 00:00:00-05:00,11.74,11.98,11.54,11.81,31835100,0.0,0.0
2025-11-26 00:00:00-05:00,11.32,11.52,10.9,11.11,49739500,0.0,0.0
2025-11-25 00:00:00-05:00,10.9,11.24,10.63,11.17,39384500,0.0,0.0
2025-11-24 00:00:00-05:00,10.38,11.28,10.12,11.21,53592200,0.0,0.0
2025-11-21 00:00:00-05:00,10.12,10.48,9.71,10.07,56525100,0.0,0.0
2025-11-20 00:00:00-05:00,11.48,11.74,10.21,10.24,55553200,0.0,0.0
2025-11-19 00:00:00-05:00,11.87,11.89,10.84,11.1,51758900,0.0,0.0
2025-11-18 00:00:00-05:00,11.41,12.12,11.36,11.88,49781500,0.0,0.0
2025-11-17 00:00:00-05:00,12.02,12.27,11.1,11.51,53541900,0.0,0.0
2025-11-14 00:00:00-05:00,12.39,12.69,11.96,11.99,49802900,0.0,0.0
2025-11-13 00:00:00-05:00,14.25,14.28,12.68,12.78,53568200,0.0,0.0
2025-11-12 00:00:00-05:00,14.96,14.98,13.98,14.41,41649900,0.0,0.0
2025-11-11 00:00:00-05:00,15.27,15.32,14.49,14.63,50681700,0.0,0.0
2025-11-10 00:00:00-05:00,16.56,16.62,15.56,15.58,37135400,0.0,0.0
2025-11-07 00:00:00-05:00,15.39,15.89,14.81,15.87,51496900,0.0,0.0
2025-11-06 00:00:00-05:00,17.0,17.06,15.93,15.96,40692300,0.0,0.0
2025-11-05 00:00:00-05:00,17.22,18.04,17.07,17.13,43786400,0.0,0.0
2025-11-04 00:00:00-05:00,17.48,17.91,16.54,16.62,51710300,0.0,0.0
2025-11-03 00:00:00-05:00,18.61,18.69,17.41,17.81,38632000,0.0,0.0
2025-10-31 00:00:00-04:00,18.3,18.39,17.65,18.27,33419500,0.0,0.0
2025-10-30 00:00:00-04:00,18.47,18.68,17.76,17.76,34392400,0.0,0.0
2025-10-29 00:00:00-04:00,19.04,19.27,18.15,18.88,33793300,0.0,0.0
2025-10-28 00:00:00-04:00,19.63,20.29,18.67,18.88,40462100,0.0,0.0
2025-10-27 00:00:00-04:00,20.37,20.47,19.54,19.56,34113000,0.0,0.0
2025-10-24 00:00:00-04:00,19.78,20.04,19.2,19.54,30810100,0.0,0.0
2025-10-23 00:00:00-04:00,19.33,19.92,19.13,19.22,32710100,0.0,0.0
2025-10-22 00:00:00-04:00,19.57,20.02,18.39,19.15,41372900,0.0,0.0
2025-10-21 00:00:00-04:00,20.37,21.04,19.66,20.07,40022600,0.0,0.0
2025-10-20 00:00:00-04:00,20.55,22.09,20.11,20.73,49220200,0.0,0.0
2025-10-17 00:00:00-04:00,19.57,20.18,19.0,19.57,49863700,0.0,0.0
2025-10-16 00:00:00-04:00,23.16,23.16,19.9,20.27,63827700,0.0,0.0
2025-10-15 00:00:00-04:00,22.7,23.45,22.22,22.84,58503700,0.0,0.0
2025-10-14 00:00:00-04:00,19.37,22.98,19.0,22.24,72225900,0.0,0.0
2025-10-13 00:00:00-04:00,19.34,20.6,18.98,20.24,42343600,0.0,0.0
2025-10-10 00:00:00-04:00,20.76,22.06,18.18,18.65,80366600,0.0,0.0
2025-10-09 00:00:00-04:00,20.33,20.66,19.43,20.2,49472600,0.0,0.0
2025-10-08 00:00:00-04:00,20.42,20.97,20.03,20.2,50170500,0.0,0.0
2025-10-07 00:00:00-04:00,20.7,20.93,19.12,20.25,56239900,0.0,0.0
2025-10-06 00:00:00-04:00,19.67,20.6,19.24,20.57,73382800,0.0,0.0
2025-10-03 00:00:00-04:00,19.03,19.61,18.45,18.82,60740800,0.0,0.0
2025-10-02 00:00:00-04:00,19.17,19.75,18.63,18.79,58147400,0.0,0.0
2025-10-01 00:00:00-04:00,18.86,19.41,18.2,18.61,65823400,0.0,0.0
2025-09-30 00:00:00-04:00,18.27,18.61,18.04,18.26,57430600,0.0,0.0
2025-09-29 00:00:00-04:00,16.49,18.73,16.38,18.66,104494800,0.0,0.0
2025-09-26 00:00:00-04:00,16.21,16.37,15.73,16.13,51924400,0.0,0.0
2025-09-25 00:00:00-04:00,17.27,17.28,15.73,16.07,85062100,0.0,0.0
2025-09-24 00:00:00-04:00,18.13,19.29,17.55,17.64,71463000,0.0,0.0
2025-09-23 00:00:00-04:00,18.64,19.17,17.63,17.71,66847700,0.0,0.0
2025-09-22 00:00:00-04:00,17.68,18.43,17.0,18.35,84866900,0.0,0.0
2025-09-19 00:00:00-04:00,18.5,18.71,18.26,18.29,62943800,0.0,0.0
2025-09-18 00:00:00-04:00,17.75,19.22,17.38,18.5,83114700,0.0,0.0
2025-09-17 00:00:00-04:00,17.37,17.82,16.75,17.34,79415800,0.0,0.0
2025-09-16 00:00:00-04:00,16.31,17.62,16.17,17.53,112743500,0.0,0.0
2025-09-15 00:00:00-04:00,16.24,16.35,15.57,16.24,76839500,0.0,0.0
2025-09-12 00:00:00-04:00,15.84,16.64,15.58,16.31,70580400,0.0,0.0
2025-09-11 00:00:00-04:00,15.86,16.39,15.67,15.71,53841900,0.0,0.0
2025-09-10 00:00:00-04:00,16.09,16.44,15.76,15.86,59254500,0.0,0.0
2025-09-09 00:00:00-04:00,15.41,16.0,15.35,15.93,71693300,0.0,0.0
2025-09-08 00:00:00-04:00,15.2,15.35,14.98,15.2,59266800,0.0,0.0
2025-09-05 00:00:00-04:00,15.5,15.72,14.61,15.19,62432000,0.0,0.0
2025-09-04 00:00:00-04:00,15.73,15.87,15.04,15.11,53255600,0.0,0.0
2025-09-03 00:00:00-04:00,16.15,16.68,15.65,15.89,56723900,0.0,0.0
2025-09-02 00:00:00-04:00,15.66,16.55,15.38,16.06,56252800,0.0,0.0
2025-08-29 00:00:00-04:00,15.86,16.1,15.54,15.98,66806700,0.0,0.0
2025-08-28 00:00:00-04:00,16.1,16.31,15.84,15.96,38340800,0.0,0.0
2025-08-27 00:00:00-04:00,15.78,16.14,15.55,15.85,49786300,0.0,0.0
2025-08-26 00:00:00-04:00,15.33,15.97,15.21,15.84,50801000,0.0,0.0
2025-08-25 00:00:00-04:00,15.85,15.92,15.02,15.4,75372600,0.0,0.0
2025-08-22 00:00:00-04:00,15.41,16.63,15.27,16.29,79096900,0.0,0.0
2025-08-21 00:00:00-04:00,15.13,15.58,15.02,15.51,47738600,0.0,0.0
2025-08-20 00:00:00-04:00,15.07,15.46,14.48,15.45,40586200,0.0,0.0
2025-08-19 00:00:00-04:00,16.15,16.25,15.02,15.17,40759700,0.0,0.0
2025-08-18 00:00:00-04:00,15.26,16.35,15.26,16.09,50673500,0.0,0.0
2025-08-15 00:00:00-04:00,15.69,15.92,15.36,15.67,37126700,0.0,0.0
2025-08-14 00:00:00-04:00,15.52,15.78,14.87,15.75,45222400,0.0,0.0
2025-08-13 00:00:00-04:00,15.8,16.32,15.61,15.86,46169200,0.0,0.0
2025-08-12 00:00:00-04:00,15.68,15.98,15.57,15.72,26799400,0.0,0.0
2025-08-11 00:00:00-04:00,15.9,16.21,15.57,15.66,32497200,0.0,0.0
2025-08-08 00:00:00-04:00,16.04,16.18,15.29,15.38,25638900,0.0,0.0
2025-08-07 00:00:00-04:00,16.2,16.5,15.6,15.95,26323600,0.0,0.0
2025-08-06 00:00:00-04:00,15.69,16.11,15.44,15.89,21598700,0.0,0.0
2025-08-05 00:00:00-04:00,15.9,15.99,15.33,15.62,28810500,0.0,0.0
2025-08-04 00:00:00-04:00,15.61,16.21,15.31,16.04,29808000,0.0,0.0
2025-08-01 00:00:00-04:00,15.47,15.94,15.01,15.5,43231700,0.0,0.0
2025-07-31 00:00:00-04:00,16.42,16.66,16.07,16.08,40020400,0.0,0.0
2025-07-30 00:00:00-04:00,17.42,17.92,16.3,16.55,58937300,0.0,0.0
2025-07-29 00:00:00-04:00,17.17,17.4,16.47,16.61,41980500,0.0,0.0
2025-07-28 00:00:00-04:00,17.64,17.65,16.95,17.16,40821700,0.0,0.0
2025-07-25 00:00:00-04:00,17.21,17.26,16.63,17.25,39143600,0.0,0.0
2025-07-24 00:00:00-04:00,17.55,17.68,17.13,17.26,59837900,0.0,0.0
2025-07-23 00:00:00-04:00,18.72,18.75,16.93,17.57,138542800,0.0,0.0
2025-07-22 00:00:00-04:00,19.17,19.99,18.69,19.88,36111100,0.0,0.0
2025-07-21 00:00:00-04:00,19.56,19.99,18.67,18.83,39987100,0.0,0.0
2025-07-18 00:00:00-04:00,20.25,20.99,19.27,19.51,41471900,0.0,0.0
2025-07-17 00:00:00-04:00,19.48,20.2,19.17,19.97,37813600,0.0,0.0
2025-07-16 00:00:00-04:00,19.49,20.19,19.4,19.44,49524200,0.0,0.0
2025-07-15 00:00:00-04:00,19.04,19.36,18.58,18.76,39532000,0.0,0.0
2025-07-14 00:00:00-04:00,19.79,21.5,18.98,19.21,86813200,0.0,0.0
2025-07-11 00:00:00-04:00,19.5,19.8,19.0,19.14,54864100,0.0,0.0
2025-07-10 00:00:00-04:00,18.48,19.19,17.95,19.0,46005300,0.0,0.0
2025-07-09 00:00:00-04:00,17.98,18.53,17.4,18.46,42743100,0.0,0.0
2025-07-08 00:00:00-04:00,17.11,17.67,16.96,17.52,33898500,0.0,0.0
2025-07-07 00:00:00-04:00,17.42,17.49,16.24,16.75,42431700,0.0,0.0
2025-07-03 00:00:00-04:00,17.58,18.22,17.38,17.66,32142500,0.0,0.0
2025-07-02 00:00:00-04:00,15.95,17.84,15.87,17.8,82124900,0.0,0.0
2025-07-01 00:00:00-04:00,15.36,16.16,15.29,15.7,41974200,0.0,0.0
2025-06-30 00:00:00-04:00,15.22,15.8,15.07,15.68,46603100,0.0,0.0
2025-06-27 00:00:00-04:00,15.14,15.5,14.85,15.03,39794000,0.0,0.0
2025-06-26 00:00:00-04:00,14.88,15.4,14.58,15.27,39641200,0.0,0.0
2025-06-25 00:00:00-04:00,15.37,15.41,14.82,14.98,37555000,0.0,0.0
2025-06-24 00:00:00-04:00,14.52,15.05,14.37,14.88,43803800,0.0,0.0
2025-06-23 00:00:00-04:00,13.95,14.45,13.49,14.18,48736200,0.0,0.0
2025-06-20 00:00:00-04:00,14.79,14.91,14.11,14.32,49493000,0.0,0.0
2025-06-18 00:00:00-04:00,14.52,14.92,14.43,14.49,37451000,0.0,0.0
2025-06-17 00:00:00-04:00,15.12,15.19,14.29,14.67,54622000,0.0,0.0
2025-06-16 00:00:00-04:00,15.33,15.54,15.05,15.32,39214900,0.0,0.0
2025-06-13 00:00:00-04:00,15.37,15.72,14.57,15.04,55022500,0.0,0.0
2025-06-12 00:00:00-04:00,15.85,16.48,15.61,15.82,42679700,0.0,0.0
2025-06-11 00:00:00-04:00,16.56,16.73,15.96,16.35,40761400,0.0,0.0
2025-06-10 00:00:00-04:00,16.32,16.68,16.03,16.49,49306100,0.0,0.0
2025-06-09 00:00:00-04:00,16.22,16.3,15.47,16.27,64736500,0.0,0.0
2025-06-06 00:00:00-04:00,15.2,16.11,15.12,15.78,61255200,0.0,0.0
2025-06-05 00:00:00-04:00,15.75,15.85,14.65,14.88,41371200,0.0,0.0
2025-06-04 00:00:00-04:00,15.02,15.79,14.92,15.67,50856400,0.0,0.0
2025-06-03 00:00:00-04:00,14.47,15.55,14.28,15.33,49904400,0.0,0.0
2025-06-02 00:00:00-04:00,14.02,14.43,13.93,14.36,36748700,0.0,0.0
2025-05-30 00:00:00-04:00,14.44,14.69,14.09,14.12,35164200,0.0,0.0
2025-05-29 00:00:00-04:00,15.21,15.23,14.51,14.61,26868600,0.0,0.0
2025-05-28 00:00:00-04:00,16.31,16.31,14.79,14.86,57658100,0.0,0.0
2025-05-27 00:00:00-04:00,15.22,16.6,15.2,16.44,66177800,0.0,0.0
2025-05-23 00:00:00-04:00,15.03,15.28,14.58,14.73,47232700,0.0,0.0
2025-05-22 00:00:00-04:00,16.69,17.24,15.64,15.65,84449400,0.0,0.0
2025-05-21 00:00:00-04:00,16.16,17.22,15.66,15.84,75135700,0.0,0.0
2025-05-20 00:00:00-04:00,16.23,16.3,15.72,16.19,34242600,0.0,0.0
2025-05-19 00:00:00-04:00,15.72,16.39,15.56,16.32,35229100,0.0,0.0
2025-05-16 00:00:00-04:00,15.75,16.59,15.68,16.21,40908200,0.0,0.0
2025-05-15 00:00:00-04:00,15.56,15.89,15.25,15.68,28710300,0.0,0.0
2025-05-14 00:00:00-04:00,16.34,16.43,15.77,15.87,30663200,0.0,0.0
2025-05-13 00:00:00-04:00,16.31,16.63,15.8,16.37,48425700,0.0,0.0
2025-05-12 00:00:00-04:00,16.44,16.69,15.58,15.95,58400300,0.0,0.0
2025-05-09 00:00:00-04:00,14.13,16.15,14.07,15.76,86525400,0.0,0.0
2025-05-08 00:00:00-04:00,13.99,14.5,13.76,14.29,49215700,0.0,0.0
2025-05-07 00:00:00-04:00,13.32,13.59,13.05,13.33,31516700,0.0,0.0
2025-05-06 00:00:00-04:00,12.74,13.33,12.63,13.15,23009500,0.0,0.0
2025-05-05 00:00:00-04:00,13.97,14.06,12.74,13.09,51812500,0.0,0.0
2025-05-02 00:00:00-04:00,14.12,14.96,14.06,14.48,56634900,0.0,0.0
2025-05-01 00:00:00-04:00,13.93,14.66,13.6,14.05,61180700,0.0,0.0
2025-04-30 00:00:00-04:00,13.85,13.96,13.05,13.37,34872300,0.0,0.0
2025-04-29 00:00:00-04:00,14.01,14.48,13.96,14.22,37502700,0.0,0.0
2025-04-28 00:00:00-04:00,14.4,14.49,13.45,14.01,30247100,0.0,0.0
2025-04-25 00:00:00-04:00,14.28,14.6,14.02,14.3,31608600,0.0,0.0
2025-04-24 00:00:00-04:00,13.91,14.31,13.86,14.01,29150200,0.0,0.0
2025-04-23 00:00:00-04:00,14.6,14.77,13.95,14.13,42139200,0.0,0.0
2025-04-22 00:00:00-04:00,12.76,14.08,12.7,14.06,62449200,0.0,0.0
